path,mean_L,mean_a,mean_b
Q:\Meme_Repository\1409794705696.jpg,129.30345959026312,130.33528289891927,130.1155855874331
Q:\Meme_Repository\1409794809179.jpg,158.78925,131.39783125,129.26216875
Q:\Meme_Repository\1409794874718.jpg,147.10200364298726,150.91993846719015,144.38706739526413
Q:\Meme_Repository\1409795032671.jpg,226.65342966936046,130.2440623164469,129.98371874495564
Q:\Meme_Repository\1409795032671profile.jpg,226.21713748740603,130.19009726420214,130.05541153220182
Q:\Meme_Repository\1409795036046.jpg,110.17549922262171,135.4452737829171,142.90471346322028
Q:\Meme_Repository\1409795036046profile.jpg,146.46581980153874,133.57154524070594,139.1389160611672
Q:\Meme_Repository\1409803749578.jpg,91.00310018903592,136.41843100189035,148.61419029615627
Q:\Meme_Repository\1409803865982.jpg,163.7923797680405,129.10994781767437,132.62836431168415
Q:\Meme_Repository\1410075201944.jpg,109.31323891625615,126.81351419878297,128.98337438423644
Q:\Meme_Repository\1410076433376.png,160.24203146666667,140.52458186666667,146.59377
Q:\Meme_Repository\1410076533363.jpg,51.822632757741964,130.68293612385267,130.04297998288655
Q:\Meme_Repository\1410214992150.jpg,102.80637996219282,122.95620982986767,127.0881884057971
Q:\Meme_Repository\1410216317026.jpg,124.08818802083333,131.318525,142.9148625
Q:\Meme_Repository\1410217878162.jpg,230.16427278951485,126.57824726134585,134.57090179968702
Q:\Meme_Repository\1410218107332.jpg,130.10475029036004,128.1617537746806,127.97897793263647
Q:\Meme_Repository\1410218160293.jpg,41.32976867978803,127.25835853916102,128.0853557724929
Q:\Meme_Repository\1410301105159.jpg,169.4604128664414,127.95576288587861,129.01800434596254
Q:\Meme_Repository\1410301250575.jpg,90.70612690449647,126.6371033073207,129.60715904868078
Q:\Meme_Repository\1410301321169.jpg,95.59002862985685,161.25578323108385,145.9540654396728
Q:\Meme_Repository\1410301585129.jpg,145.69866666666667,130.20890666666668,130.97568333333334
Q:\Meme_Repository\1410301638685.jpg,83.08480357142857,128.59460714285714,129.90260714285714
Q:\Meme_Repository\1410379326826.jpg,193.94520617628874,128.6805969682029,145.0789683750851
Q:\Meme_Repository\1410399101954.jpg,92.80722289156627,128.64193373493976,137.67737951807229
Q:\Meme_Repository\1410429373712.jpg,133.0460775862069,130.1492974137931,125.98321982758621
Q:\Meme_Repository\1410429697211.jpg,129.9401879552911,125.03764736139688,132.70608213312573
Q:\Meme_Repository\1410429834583.jpg,181.9997548055943,130.0398683943331,132.17024376860562
Q:\Meme_Repository\1410429847025.png,24.824266982492993,128.79104562846211,128.25295404379358
Q:\Meme_Repository\1410430151479.jpg,217.307269295848,130.19762652392728,132.5278970888108
Q:\Meme_Repository\1410430501174.png,192.051957718319,130.3370637613946,135.2366859178862
Q:\Meme_Repository\1410437780295.jpg,224.44302608651086,130.20959665846658,127.53308220582205
